"Grid_ID","fips","row","col","Datetime_UTC","Datetime_local","Date_local","EATM_radar_ref","SFC_visibility","SFC_wind_gust","MSL","SFC_pressure","SFC_geoheight","SFC_tempC","DBLL_moisture","HTGL2_tempC","HTGL2_dew_tempC","HTGL2_humidity","HTGL10_uwind","HTGL10_vwind","HTGL10_wind_speed","SFC_roughness","SFC_velocity","SFC_sensible_heat","SFC_latent_heat","SFC_ground_heat","EATM_cloud_cover","SFC_beam_solar","SFC_diffuse_solar","SFC_PBLH","EHLT_geoheight","Down_short_r","Down_long_r","Up_short_r","HR01_total_preci"
1135434,6037,632,265,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",-10,35900,5.27269887924194,101061,100930,9.83900451660156,13.8095336914063,14.2433715820313,4.97478637695315,51.2999992370605,0.938751220703125,1.06207466125488,1.44208776950836,0.5,0.0399999991059303,-1,1,40,45.125,0,0,417.099914550781,3020.74243164062,0,286.5,0,338.48828125,0
1137242,6059,633,274,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",-10,82000,5.27269887924194,101059,100570,40.7140045166016,14.0595336914063,14.7433715820313,-7.71271362304685,18.7000007629395,-0.248748779296875,0.312074661254883,0.379587769508362,0.5,0.00999999977648258,-1,0,40,27.5,0,0,1784.22485351562,61.742504119873,0,313.899993896484,0,339.48828125,0
1139041,6059,634,274,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",-10,80500,5.83519887924194,101058,100680,31.4640045166016,14.4970336914063,14.9933715820313,-7.21271362304685,19.5,-0.123748779296875,-0.500425338745117,0.567087769508362,0.5,0.00999999977648258,-1,0,20,27.5,0,0,1796.41235351562,52.242504119873,0,329.399993896484,0,341.48828125,0
1144471,6065,637,307,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",-10,31000,7.27269887924194,101384,92840,713.620239257812,6.18453369140627,6.93087158203127,-0.462713623046852,57.6000022888184,-2.93624877929688,-1.87542533874512,3.50458765029907,0.414099991321564,0.229999989271164,-21,11,30,9.5,0,0,783.224914550781,733.742492675781,0,244.600006103516,0,303.86328125,0
1144472,6065,637,308,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",-10,36100,7.52269887924194,101398,93490,655.432739257812,6.49703369140627,7.43087158203127,-1.40021362304685,51.5,-3.37374877929688,-1.06292533874512,3.50458765029907,0.158099994063377,0.159999996423721,-17,9,30,9.5,0,0,849.349914550781,675.742492675781,0,245.5,0,305.23828125,0
1145065,40109,637,901,2019-01-01 01:00:00,"2018-12-31 19:00","2018-12-31",-10,18200,11.5226984024048,101613,97410,359.526489257812,3.43453369140627,3.43087158203127,0.349786376953148,80,1.93875122070312,-7.37542533874512,7.62958765029907,0.288199990987778,0.589999973773956,1,91,80,97.25,0,0,373.849914550781,379.242492675781,0,321.200012207031,0,292.11328125,0.0390000008046627
1151985,35001,641,625,2019-01-01 01:00:00,"2018-12-31 18:00","2018-12-31",15.8125,15300,4.83519887924194,101394,83240,1610.80773925781,-0.815466308593727,-0.631628417968727,-2.58771362304685,85.9000015258789,1.68875122070312,-2.31292533874512,2.81708765029907,0.5,0.209999993443489,-6,6,60,78.5,0,0,156.224914550781,1630.24255371094,0,304.399993896484,0,274.48828125,0.0870000049471855
1152258,40109,641,898,2019-01-01 01:00:00,"2018-12-31 19:00","2018-12-31",-10,18900,11.7101984024048,101592,97350,363.307739257812,3.80953369140627,3.68087158203127,0.349786376953148,78.5999984741211,1.68875122070312,-7.12542533874512,7.31708765029907,0.5,0.560000002384186,5,78,70,90.25,0,0,434.474914550781,383.242492675781,0,321.399993896484,0,293.61328125,0.0240000002086163
1153475,6065,642,316,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",3.0625,75800,6.14769887924194,101435,99100,184.776504516602,11.4345336914063,12.2433715820313,-7.33771362304685,22.5,1.56375122070312,0.124574661254883,1.56708776950836,0.469599992036819,0.0399999991059303,-3,0,10,17.625,0,0,2264.22485351562,205.24250793457,0,275.100006103516,0,327.23828125,0
1155249,6065,643,291,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",-10,22300,5.08519887924194,101214,96170,424.932739257812,7.18453369140627,7.49337158203127,3.59978637695315,73.3000030517578,-0.998748779296875,0.562074661254883,1.12958776950836,0.313999980688095,0.0299999993294477,-1,2,50,9.125,0,0,403.537414550781,445.242492675781,0,256.899993896484,0,308.11328125,0
1155948,40135,643,990,2019-01-01 01:00:00,"2018-12-31 19:00","2018-12-31",-10,19000,2.27269887924194,101509,99740,152.589004516602,6.99703369140627,7.36837158203127,5.16228637695315,82.3000030517578,0.126251220703125,-0.750425338745117,0.817087769508362,0.132799997925758,0.0199999995529652,-1,1,0,98.125,0,0,202.099914550781,172.74250793457,0,340.600006103516,0,321.23828125,0.00100000004749745
1157879,5035,644,1122,2019-01-01 01:00:00,"2018-12-31 19:00","2018-12-31",-10,13400,3.58519887924194,101442,100690,64.9952545166016,9.68453369140627,9.99337158203127,9.34978637695315,92.0999984741211,1.31375122070312,0.187074661254883,1.31708776950836,0.0885999947786331,0.0299999993294477,-1,0,20,65.75,0,0,69.7874069213867,85.7425079345703,0,276.899993896484,0,339.11328125,0
1157889,47157,644,1132,2019-01-01 01:00:00,"2018-12-31 19:00","2018-12-31",-10,12900,3.33519887924194,101413,100390,88.2452545166016,9.74703369140627,10.1808715820313,9.78728637695315,91.5999984741211,0.813751220703125,0.124574661254883,0.817087769508362,0.37279999256134,0.0199999995529652,-1,0,40,78.625,0,0,143.099914550781,108.74250793457,0,278.899993896484,0,319.73828125,0
1159178,35001,645,622,2019-01-01 01:00:00,"2018-12-31 18:00","2018-12-31",14.8125,15600,2.08519887924194,101369,84350,1505.21398925781,-1.87796630859373,-1.44412841796873,-2.83771362304685,85.7000045776367,0.876251220703125,-0.875425338745117,1.25458776950836,0.385600000619888,0.0299999993294477,-1,0,100,90.875,0,0,129.849914550781,1524.74255371094,0,304.100006103516,0,270.36328125,0.100000001490116
1161764,45079,646,1409,2019-01-01 01:00:00,"2018-12-31 20:00","2018-12-31",22.5625,12200,6.96019887924194,101853,100400,124.839004516602,18.8720336914063,19.0558715820313,18.5997863769531,96.2000045776367,-1.12374877929688,2.24957466125488,2.50458765029907,0.295199990272522,0.159999996423721,-5,-4,-10,94.375,0,0,168.849914550781,9097.7421875,0,394.100006103516,0,383.36328125,0.00300000002607703
1173245,6065,653,297,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",24.0625,10700,13.5226984024048,101219,96290,410.245239257812,6.18453369140627,7.05587158203127,2.59978637695315,71.7000045776367,-8.99874877929688,3.81207466125488,9.75458812713623,0.100099995732307,0.529999971389771,-50,131,90,30.625,0,0,111.099906921387,2867.24243164062,0,258.300018310547,0,303.86328125,0.0350000001490116
1184027,6073,659,285,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",-0.75,22800,12.3351984024048,101084,101040,2.15150451660156,17.4345336914063,12.7433715820313,7.97478637695315,74.4000015258789,-7.74874877929688,-2.25042533874512,8.12958812713623,9.99999974737875e-05,0.269999980926514,53,166,0,26.125,0,0,173.599914550781,3013.74243164062,0,286.200012207031,0,396.23828125,0.00100000004749745
1193796,5119,664,1059,2019-01-01 01:00:00,"2018-12-31 19:00","2018-12-31",-10,14400,3.33519887924194,101436,100510,80.4015045166016,6.93453369140627,7.55587158203127,6.78728637695315,88.2000045776367,0.438751220703125,1.49957466125488,1.56708776950836,0.480799973011017,0.0399999991059303,-2,0,50,100,0,0,47.787410736084,100.74250793457,0,270.100006103516,0,306.98828125,0
1203824,6073,670,293,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",32.5625,4100,3.39769887924194,101102,98550,210.401504516602,11.1220336914063,11.1183715820313,9.47478637695315,89.2000045776367,-0.436248779296875,-2.31292533874512,2.31708765029907,0.44650000333786,0.179999992251396,0,41,50,60.5,0,0,345.037414550781,3679.24243164062,0,356,0,325.86328125,1.57400012016296
1212817,6073,675,291,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",23.9375,13200,4.89769887924194,101083,99670,116.839004516602,12.1845336914063,11.9308715820313,9.72478637695315,86.5999984741211,1.25125122070312,0.437074661254883,1.31708776950836,0.330300003290176,0.0999999940395355,4,20,0,49.25,0,0,370.162414550781,3617.24243164062,0,362.600006103516,0,330.61328125,1.1450001001358
1215629,13121,676,1304,2019-01-01 01:00:00,"2018-12-31 20:00","2018-12-31",-10,16700,12.7101984024048,101544,98410,274.682739257812,18.0595336914063,19.2433715820313,17.0372863769531,83.7000045776367,-2.06124877929688,3.62457466125488,4.12958765029907,0.5,0.28999999165535,-44,38,60,50.125,0,0,415.474914550781,10002.7421875,0,405.399993896484,0,358.73828125,0
1216426,6073,677,302,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",27,7600,3.14769887924194,101167,93470,654.463989257812,8.24703369140627,8.36837158203127,7.16228637695315,91.4000015258789,0.938751220703125,1.12457466125488,1.50458776950836,0.179999992251396,0.0599999986588955,-1,2,10,88.375,0,0,238.412414550781,3971.74243164062,0,353.700012207031,0,312.98828125,9.19700050354004
1218219,6073,678,296,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",27.375,5100,3.83519887924194,101114,99010,174.089004516602,11.6845336914063,11.4933715820313,9.72478637695315,89,0.751251220703125,0.812074661254883,1.12958776950836,0.461999982595444,0.0999999940395355,4,22,20,74.375,0,0,248.787414550781,3148.74243164062,0,362.800018310547,0,328.61328125,0.973000049591064
1220011,6073,679,289,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",16.5625,20000,4.33519887924194,101078,100500,46.4015045166016,13.2470336914063,13.1183715820313,8.97478637695315,76.3000030517578,0.188751220703125,-1.18792533874512,1.19208776950836,0.5,0.0599999986588955,1,9,-10,44.625,0,0,697.787414550781,3054.74243164062,0,356.399993896484,0,335.61328125,0.00800000037997961
